Rank,University,URL,Country,Number of FTE Students,Number of Students per staff,International Students,Female Male Ratio,Year
49,University of Wisconsin-Madison,https://www.timeshighereducation.com/world-university-rankings/university-wisconsin-madison,United States,39451,9.8,0.13,n/a,2021
50,Washington Universityin St Louis,https://www.timeshighereducation.com/world-university-rankings/washington-university-st-louis,United States,13693,7.5,0.21,n/a,2021
51,University of Manchester,https://www.timeshighereducation.com/world-university-rankings/university-manchester,United Kingdom,36557,14.4,0.41,53 : 47,2021
51,University of Sydney,https://www.timeshighereducation.com/world-university-rankings/university-sydney,Australia,46453,19.4,0.43,58 : 42,2021
53,University of Southern California,https://www.timeshighereducation.com/world-university-rankings/university-southern-california,United States,41953,13,0.23,49 : 51,2021
54,Boston University,https://www.timeshighereducation.com/world-university-rankings/boston-university,United States,26510,11.1,0.28,59 : 41,2021
54,Kyoto University,https://www.timeshighereducation.com/world-university-rankings/kyoto-university,Japan,22935,9.3,0.11,25 : 75,2021
56,Chinese University of Hong Kong,https://www.timeshighereducation.com/world-university-rankings/chinese-university-hong-kong,Hong Kong,18675,19.3,0.33,n/a,2021
56,The Hong Kong University of Science and Technology,https://www.timeshighereducation.com/world-university-rankings/hong-kong-university-science-and-technology,Hong Kong,9976,21.6,0.3,n/a,2021
56,University of North Carolinaat Chapel Hill,https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-chapel-hill,United States,30956,8.2,0.08,58 : 42,2021
59,Australian National University,https://www.timeshighereducation.com/world-university-rankings/australian-national-university,Australia,18801,17.8,0.47,53 : 47,2021
60,Seoul National University,https://www.timeshighereducation.com/world-university-rankings/seoul-national-university,South Korea,26757,15.1,0.11,n/a,2021
61,Brown University,https://www.timeshighereducation.com/world-university-rankings/brown-university,United States,9695,10.8,0.2,n/a,2021
62,The University of Queensland,https://www.timeshighereducation.com/world-university-rankings/university-queensland,Australia,40389,35.5,0.38,55 : 45,2021
62,Wageningen University& Research,https://www.timeshighereducation.com/world-university-rankings/wageningen-university-research,Netherlands,14356,21,0.27,54 : 46,2021
64,"University of California, Davis",https://www.timeshighereducation.com/world-university-rankings/university-california-davis,United States,36395,13.6,0.17,58 : 42,2021
64,Monash University,https://www.timeshighereducation.com/world-university-rankings/monash-university,Australia,57406,41.7,0.43,57 : 43,2021
66,University of Amsterdam,https://www.timeshighereducation.com/world-university-rankings/university-amsterdam,Netherlands,24747,12.8,0.24,57 : 43,2021
67,UNSW Sydney,https://www.timeshighereducation.com/world-university-rankings/unsw-sydney,Australia,46234,41,0.44,47 : 53,2021
68,"University of California, Santa Barbara",https://www.timeshighereducation.com/world-university-rankings/university-california-santa-barbara,United States,24780,28.2,0.18,53 : 47,2021
69,McMaster University,https://www.timeshighereducation.com/world-university-rankings/mcmaster-university,Canada,25285,30.5,0.18,55 : 45,2021
70,Fudan University,https://www.timeshighereducation.com/world-university-rankings/fudan-university,China,32597,11.2,0.13,52 : 48,2021
